subj,trial,tp,self,other,fair,resp,rt,ffix,fdur,gazeself,gazeother,gazelateself,gazelateother,given
2,72,1.5,4,57,-53,0,0.646985031778058,0,0,273,0,112,154,-7
2,73,1.5,14,61,-47,0,0.659522029824075,0,0,122,126,163,156,-11
2,74,1.5,57,43,14,1,0.791314916237752,0,0,222,0,227,221,-7
2,75,1.5,73,48,25,1,0.805839431924142,0,0,215,11,191,275,-2
2,76,1.5,47,93,-46,1,0.676266805571686,0,0,108,0,63,220,43
2,77,1.5,7,54,-47,0,0.688136669050436,0,0,277,0,164,133,-4
2,78,1.5,45,54,-9,0,0.946575242107428,0,0,281,0,193,172,-4
2,79,1.5,44,75,-31,1,0.587604923557592,0,0,286,0,5,183,25
2,80,1.5,40,99,-59,1,0.786153830407784,0,0,277,0,232,167,49
2,81,10,82,44,38,1,4.42897300222558,0,0,127,0,1982,948,-6
2,82,10,62,16,46,0,2.81700231388459,0,0,73,0,819,1164,34
2,83,10,45,98,-53,1,2.70943486461783,0,0,54,0,930,720,48
2,84,10,69,37,32,1,6.22262345088075,0,0,119,0,2638,1951,-13
2,85,10,72,12,60,0,3.47343284208273,0,0,266,0,267,1554,38
2,86,10,94,12,82,0,3.78766258088945,0,0,0,0,443,1843,38
2,87,10,1,63,-62,0,2.21655856374309,0,0,113,0,1409,139,-13
2,88,10,95,15,80,0,3.26117567830988,0,0,108,0,950,849,35
2,89,10,71,40,31,1,3.08086278918017,0,0,128,0,1302,485,-10
2,90,10,70,10,60,0,2.79532194982767,0,0,269,0,715,611,40
2,91,10,56,27,29,0,3.59844872803569,0,0,108,0,1317,1120,23
2,92,10,96,6,90,0,5.7073492389527,0,0,117,0,885,3116,44
2,93,10,93,19,74,0,5.05156924242328,0,0,107,0,817,2812,31
2,94,10,7,76,-69,0,3.29338227871722,0,0,41,128,1254,746,-26
2,95,10,46,82,-36,1,3.46299565763184,0,0,116,0,900,1374,32
2,96,10,48,67,-19,1,4.37002124873288,0,0,116,0,1861,1006,17
2,97,10,58,3,55,0,3.27930573936374,0,0,107,0,1026,1213,47
2,98,10,24,54,-30,1,3.60966624861976,0,0,105,0,1789,674,4
2,99,10,9,58,-49,0,3.07791200167503,0,0,91,0,1245,670,-8
2,100,10,6,75,-69,0,3.18427317504666,0,0,275,0,951,712,-25
2,101,1.5,38,61,-23,1,0.762998223533941,0,0,268,0,101,102,11
2,102,1.5,63,21,42,1,0.706824587425217,0,0,276,0,398,0,-29
2,103,1.5,80,44,36,1,0.843333602042549,0,0,209,0,244,223,-6
2,104,1.5,90,15,75,0,0.935071849833548,0,0,278,0,309,172,35
2,105,1.5,84,20,64,0,0.958813388017006,0,0,230,5,157,213,30
2,106,1.5,96,22,74,0,0.701213412165998,0,0,210,25,170,194,28
2,107,1.5,84,17,67,0,0.878350620011588,0,0,263,0,339,172,33
2,108,1.5,16,98,-82,0,0.91270140902725,0,0,218,14,97,350,-48
2,109,1.5,16,80,-64,0,0.624437996527377,0,0,247,0,38,231,-30
2,110,1.5,60,28,32,0,0.876324161032244,0,0,220,15,224,188,22
2,111,1.5,54,49,5,1,0.75546322538321,0,0,241,0,47,221,-1
2,112,1.5,82,20,62,0,0.785823885575155,0,0,254,0,56,167,30
2,113,1.5,48,71,-23,1,1.00624001453434,0,0,259,0,166,308,21
2,114,1.5,5,96,-91,0,0.641971560792626,0,0,139,0,65,175,-46
2,115,1.5,31,52,-21,0,0.676494416188689,0,0,273,0,117,174,-2
2,116,1.5,20,66,-46,0,0.621592561947182,0,0,244,0,47,233,-16
2,117,1.5,70,1,69,0,0.736755987274591,0,0,207,32,156,81,49
2,118,1.5,49,80,-31,1,0.983252851592624,0,0,219,21,171,178,30
2,119,1.5,47,79,-32,1,0.907601301108116,0,0,221,15,96,354,29
2,120,1.5,49,89,-40,1,1.09129967175977,0,0,273,0,207,218,39
2,121,10,7,66,-59,0,5.44015369456611,0,0,94,0,1706,1801,-16
2,122,10,70,1,69,0,7.23323058861752,0,0,95,0,1510,3343,49
2,123,10,94,20,74,0,5.31424064846306,0,0,119,0,2133,1413,30
2,124,10,88,19,69,0,6.67260239538973,0,0,0,12,754,4417,31
2,125,10,36,56,-20,0,8.91987386029359,0,0,80,0,3018,3430,-6
2,126,10,36,89,-53,0,4.93912446592185,0,0,114,0,1996,1411,-39
2,127,10,84,20,64,0,5.51154524369122,0,0,268,0,1512,2481,30
2,128,10,83,19,64,0,6.70910552352689,0,0,135,0,885,4064,31
2,129,10,62,16,46,0,7.81911359857077,0,0,79,0,2223,2815,34
2,130,10,21,57,-36,0,5.89874139182029,0,0,99,0,1982,2018,-7
2,131,10,49,55,-6,1,4.28617692352782,0,0,57,0,1321,1585,5
2,132,10,49,93,-44,1,3.61223969756975,0,0,121,0,1559,853,43
2,133,10,89,38,51,1,3.03773963342246,0,0,76,0,690,1077,-12
2,134,10,20,70,-50,0,5.30212657147149,0,0,124,0,1671,1721,-20
2,135,10,52,2,50,0,4.4197906948757,0,0,125,0,1217,1074,48
2,136,10,94,12,82,0,3.98906446909132,0,0,257,0,835,1599,38
2,137,10,66,23,43,0,5.44786770212795,0,0,116,0,2029,2297,27
2,138,10,90,15,75,0,5.9841364275544,0,0,117,0,876,3784,35
