subj,exp,tp,self,other,fair,resp,rt,given,gen
2,1,1.5,92,38,54,0,0.554461030927996,12,0
2,1,1.5,19,93,-74,1,0.423027170676505,43,0
2,1,1.5,50,57,-7,1,0.353740022908823,7,0
3,1,10,25,55,-30,0,3.08771749760672,-5,0
3,1,10,30,100,-70,0,3.19230585951482,-50,0
3,1,10,48,80,-32,1,2.46107623101398,30,0
3,1,10,48,60,-12,1,1.75124373367908,10,0
3,1,10,53,40,13,1,1.71737370952997,-10,0
3,1,10,53,40,13,1,2.87493383615492,-10,0
3,1,10,50,43,7,1,3.36434542146253,-7,0
3,1,10,85,15,70,0,1.89845627467821,35,0
3,1,10,50,100,-50,0,1.39448937639554,-50,0
3,1,10,53,0,53,0,5.83003186128281,50,0
3,1,10,48,80,-32,0,5.0174965800079,-30,0
3,1,10,50,43,7,1,3.64504178036077,-7,0
3,1,10,53,23,30,0,3.99978409692449,27,0
3,1,10,100,15,85,0,4.30793680234729,35,0
3,1,10,98,38,60,0,6.44399716136923,12,0
3,1,10,3,100,-97,0,3.80684738988202,-50,0
3,1,10,100,0,100,0,3.04292952249125,50,0
3,1,10,80,45,35,1,1.84571800785579,-5,0
3,1,10,53,0,53,0,4.35241723471063,50,0
3,1,10,100,0,100,0,2.87855140399279,50,0
3,1,1.5,50,100,-50,0,1.20299141226224,-50,0
3,1,1.5,80,45,35,1,0.98297078233918,-5,0
3,1,1.5,0,68,-68,0,0.92366341700199,-18,0
3,1,1.5,75,0,75,0,0.955051838732288,50,0
3,1,1.5,0,68,-68,0,0.641091010660602,-18,0
3,1,1.5,28,85,-57,1,0.80387166633227,35,0
3,1,1.5,85,15,70,1,1.11994900435366,-35,0
3,1,1.5,98,38,60,0,1.23923710336476,12,0
3,1,1.5,53,23,30,1,0.714061485090497,-27,0
3,1,1.5,48,60,-12,1,0.857994425375182,10,0
3,1,1.5,3,100,-97,0,0.716092586863851,-50,0
3,1,1.5,25,55,-30,1,0.851471879816017,5,0
